종목코드,종목명,종가,대비,등락률,상장시가총액
"084870","TBH글로벌","1994","-31","-1.53","41588497086"
"085310","엔케이","1169","0","0.00","86717288567"
"088790","진도","2885","285","10.96","35911741440"
"089470","HDC현대EP","4520","-300","-6.22","144188000000"
"090080","평화산업","950","-9","-0.94","52157146050"
"090350","노루페인트","8310","240","2.97","166200000000"
"090370","메타랩스","1335","0","0.00","33247759815"
"092200","디아이씨","6900","-270","-3.77","268331126100"
"092440","기신정기","2150","-35","-1.60","62780000000"
"092780","DYP","4950","25","0.51","65183877000"
"093240","형지엘리트","857","-2","-0.23","52611451963"
"094280","효성ITX","12510","-190","-1.50","144593082000"
"095570","AJ네트웍스","4790","135","2.90","216760715610"
"095720","웅진씽크빅","1882","-116","-5.81","106948573970"
"096760","JW홀딩스","3920","-80","-2.00","289785772640"
"100220","비상교육","6460","190","3.03","83958946860"
"100250","진양홀딩스","3020","-10","-0.33","192978000000"
"101140","인바이오젠","6680","-10","-0.15","67095362880"
"101530","해태제과식품","6330","-410","-6.08","184309483260"
"102260","동성케미컬","4185","-90","-2.11","212052238335"
"102460","이연제약","11470","200","1.77","213190722170"
"107590","미원홀딩스","58500","-400","-0.68","135720000000"
"109070","주성코퍼레이션","1512","-79","-4.97","79849067760"
"111110","호전실업","7350","-300","-3.92","68913600000"
"111380","동인기연","13760","-350","-2.48","84321280000"
"117580","대성에너지","8140","-10","-0.12","223850000000"
"118000","메타케어","1909","-171","-8.22","32792298024"
"119650","KC코트렐","918","0","0.00","100782913662"
"120030","조선선재","94400","0","0.00","118722254400"
"122900","아이마켓코리아","7350","-50","-0.68","245701974000"
"123690","한국화장품","8010","-350","-4.19","128704680000"
"123700","SJM","3700","-15","-0.40","57738122600"
"129260","인터지스","2245","-25","-1.10","66783977130"
"133820","화인베스틸","1285","-15","-1.15","47692135070"
"134380","미원화학","12200","-200","-1.61","268310696000"
"134790","시디즈","19270","1000","5.47","38540000000"
"136490","선진","11060","-490","-4.24","263002420240"
"139990","아주스틸","3125","-180","-5.45","121110668750"
"016740","두올","4990","195","4.07","143083379760"
"016880","웅진","2390","-135","-5.35","191025721200"
"017040","광명전기","932","0","0.00","40390657180"
"017180","명문제약","1635","-21","-1.27","55513897290"
"017370","우신시스템","5440","-80","-1.45","99628453760"
"017550","수산세보틱스","2650","-185","-6.53","165357694500"
"018470","조일알미늄","1441","-22","-1.50","182476309961"
"018500","동원금속","1762","11","0.63","82382191946"
"019180","티에이치엔","7950","310","4.06","143100000000"
"019490","엑시큐어하이트론","541","0","0.00","41349858070"
"019680","대교","1185","-14","-1.17","100372877250"
"020120","키다리스튜디오","3630","30","0.83","134541470580"
"020760","일진디스플","902","0","0.00","50984432422"
"021050","서원","1474","17","1.17","69977545660"
"021820","세원정공","13760","-470","-3.30","137600000000"
"023000","삼원강재","2315","-10","-0.43","91997998140"
"023150","MH에탄올","3950","-60","-1.50","29145177700"
"023350","한국종합기술","4950","-90","-1.79","54202500000"
"023450","동남합성","30550","100","0.33","106925000000"
"023800","인지컨트롤스","7480","-270","-3.48","118252793560"
"023810","인팩","6890","-1140","-14.20","68900000000"
"023960","에쓰씨엔지니어링","1121","-56","-4.76","42638327975"
"024070","WISCOM","2075","5","0.24","31802358850"
"024090","디씨엠","12220","-260","-2.08","139308000000"
"024890","대원화성","906","0","0.00","37371731712"
"024900","디와이덕양","2020","-40","-1.94","65781259600"
"025000","KPX케미칼","52600","700","1.35","230320093400"
"025530","SJM홀딩스","3725","20","0.54","55629179800"
"025560","미래산업","24950","5740","29.88","127016158600"
"025620","차AI헬스케어","6960","-280","-3.87","126699652080"
"025750","한솔홈데코","2445","100","4.26","39396355905"
"025820","이구산업","5830","-250","-4.11","194966860000"
"025890","한국주강","1975","-85","-4.13","22010616600"
"026940","부국철강","2400","-5","-0.21","48000000000"
"027740","마니커","1556","-86","-5.24","49411735384"
"027970","한국제지","720","0","0.00","136928330640"
"028100","동아지질","15890","-360","-2.22","212759186780"
"030210","다올투자증권","3995","-5","-0.13","243339868470"
"030720","동원수산","6220","-20","-0.32","28946667100"
"031440","신세계푸드","51000","0","0.00","197496480000"
"031820","아이티센씨티에스","7720","-240","-3.02","93451727120"
"032560","황금에스티","5980","-100","-1.64","101660000000"
"033250","체시스","4170","-35","-0.83","26688000000"
"033530","SJG세종","8420","700","9.07","234252491620"
"033920","무학","8210","-310","-3.64","233985000000"
"034120","SBS","14240","-620","-4.17","264169629120"
"034590","인천도시가스","26300","50","0.19","115056030200"
"035000","HS애드","7500","-80","-1.06","121557330000"
"035150","백산","11580","-20","-0.17","231933978780"
"035510","신세계 I&C","18810","-850","-4.32","262980729000"
"036420","콘텐트리중앙","5240","-90","-1.69","100934493920"
"036580","팜스코","3005","-90","-2.91","110367468715"
"037270","YG PLUS","4375","-115","-2.56","278526106250"
