종목코드,종목명,종가,대비,등락률,상장시가총액
"067900","와이엔텍","7030","-340","-4.61","127943602770"
"067990","도이치모터스","5010","-70","-1.38","146199565500"
"068240","다원시스","2530","0","0.00","96553495610"
"071280","로체시스템즈","8900","-340","-3.68","136139766700"
"072020","중앙백신","10000","0","0.00","94586870000"
"072950","빛샘전자","14470","-850","-5.55","116521266700"
"047770","코데즈컴바인","3200","-125","-3.76","121096326400"
"047820","초록뱀미디어","6080","380","6.67","148679894400"
"048530","인트론바이오","3085","-75","-2.37","95301073430"
"048550","SM C&C","978","-29","-2.88","94586898360"
"048770","TPC로보틱스","7100","-470","-6.21","111455736100"
"049080","기가레인","1595","-40","-2.45","135388938465"
"049520","유아이엘","3825","-65","-1.67","117973040625"
"049720","고려신용정보","9910","50","0.51","141713000000"
"049950","미래컴퍼니","15070","80","0.53","132885511880"
"051160","지어소프트","7520","70","0.94","116367713600"
"052260","현대바이오랜드","4110","-75","-1.79","123300000000"
"052420","오성첨단소재","1448","0","0.00","141064299008"
"052860","아이앤씨","6380","-220","-3.33","113965008520"
"052900","KX하이텍","1492","-24","-1.58","103665998144"
"053260","금강철강","5650","140","2.54","105768000000"
"053580","웹케시","7940","-220","-2.70","102858221840"
"053700","삼보모터스","5410","-50","-0.92","137650784880"
"054050","NH농우바이오","7540","-140","-1.82","120870429940"
"054540","삼영엠텍","10780","-200","-1.82","140140000000"
"054620","APS","5570","-260","-4.46","102455810970"
"058400","KNN","692","-5","-0.72","91641366240"
"058630","엠게임","4890","-120","-2.40","93900586860"
"059210","메타바이오메드","4020","-120","-2.90","109229208900"
"036690","코맥스","2885","0","0.00","125692107675"
"038110","에코플라스틱","2990","-5","-0.17","123096416300"
"038540","상상인","2210","75","3.51","122275571730"
"039340","한국경제TV","4840","80","1.68","106480000000"
"039980","폴라리스AI","8000","-300","-3.61","115049712000"
"040300","YTN","2980","-30","-1.00","142077400400"
"040910","아이씨디","5490","-20","-0.36","101972769750"
"041440","현대에버다임","8390","-230","-2.67","150314770160"
"041520","이엘씨","12290","440","3.71","149799491700"
"041590","플래스크","2370","0","0.00","116064014460"
"041930","SY동아","7200","950","15.20","109440000000"
"042500","링네트","5010","-60","-1.18","111678631440"
"042510","라온시큐어","11290","-310","-2.67","126506414460"
